voices,start,end,text
Voices_000.wav,0.0,4.96,هل تساءلت يومًا كيف يترجم جوجل صفحة ويب كاملة إلى لغة مختلفة في غضون
Voices_001.wav,4.96,11.12,ثوانٍ؟ أو صور مجموعة معرض هاتفك بناءً على موقعها؟ كل هذا هو نتاج
Voices_002.wav,11.12,17.2,التعلم العميق. ولكن ما هو التعلم العميق بالضبط؟ التعلم العميق هو مجموعة فرعية من
Voices_003.wav,17.2,23.2,التعلم الآلي، والذي بدوره هو مجموعة فرعية من الذكاء الاصطناعي. الذكاء الاصطناعي هو
Voices_004.wav,23.2,29.12,تقنية تمكن الآلة من تقليد السلوك البشري. التعلم الآلي هو تقنية لتحقيق الذكاء
Voices_005.wav,29.2,34.56,الاصطناعي من خلال الخوارزميات المدربة بالبيانات. وأخيرًا، التعلم العميق هو نوع من
Voices_006.wav,34.56,39.36,التعلم الآلي مستوحى من بنية الدماغ البشري. من حيث التعلم العميق، تسمى هذه
Voices_007.wav,39.36,44.96,البنية الشبكة العصبية الاصطناعية. دعونا نفهم التعلم العميق بشكل أفضل
Voices_008.wav,44.96,49.76,وكيف يختلف عن التعلم الآلي. لنفترض أننا أنشأنا آلة يمكنها التمييز بين
Voices_009.wav,49.76,54.96,الطماطم والكرز. إذا تم ذلك باستخدام التعلم الآلي، فيجب أن نخبر الآلة
Voices_010.wav,54.96,60.48,بالميزات التي يمكن التمييز بينهما بناءً عليها. يمكن أن تكون هذه الميزات هي الحجم
Voices_011.wav,60.48,65.76,ونوع الساق عليها. من ناحية أخرى، يتم اختيار الميزات بواسطة الشبكة العصبية
Voices_012.wav,65.76,71.36,دون تدخل بشري. بالطبع، هذا النوع من الاستقلال يأتي بتكلفة وجود حجم أكبر بكثير
Voices_013.wav,71.36,77.2,من البيانات لتدريب الآلة. الآن، دعونا نتعمق في عمل الشبكات العصبية. هنا لدينا
Voices_014.wav,77.2,83.2,ثلاثة طلاب، يكتب كل منهم الرقم تسعة على قطعة من الورق. ومن الجدير بالذكر أنهم
Voices_015.wav,83.2,89.28,لا يكتبونه بشكل متطابق. يمكن للدماغ البشري التعرف على الأرقام بسهولة.
Voices_016.wav,89.28,96.24,ولكن ماذا إذا كان على الكمبيوتر التعرف عليها؟ هذا هو المكان الذي يأتي فيه التعلم
Voices_017.wav,96.24,102.56,العميق. هنا شبكة عصبية مدربة لتحديد الأرقام المكتوبة بخط اليد. كل رقم موجود كصورة
Voices_018.wav,102.56,111.68,28x28 بكسل. هذا يعني مجموع 784 بكسل. الخلايا العصبية، الكيان الأساسي للشبكة
Voices_019.wav,111.68,118.32,العصبية، حيث تتم معالجة المعلومات. يتم تغذية كل من 784 بكسل إلى خلية عصبية في
Voices_020.wav,118.32,124.16,الطبقة الأولى من شبكتنا العصبية. هذا يشكل الطبقة المدخلة.
Voices_021.wav,124.72,130.24,من ناحية أخرى، لدينا الطبقة الناتجة مع كل خلية عصبية تمثل رقمًا معينًا مع الطبقات
Voices_022.wav,130.24,135.76,المخفية الموجودة بينهما. يتم نقل المعلومات من طبقة إلى أخرى عبر القنوات
Voices_023.wav,135.84,141.68,المتصلة. لكل من هذه القنوات قيمة مرفقة، وبالتالي تسمى القناة الموزونة.
Voices_024.wav,141.68,148.8,جميع الخلايا العصبية لها رقم فريد مرتبط بها يسمى التحيز. يتم إضافة هذا التحيز إلى
Voices_025.wav,148.8,155.76,المجموع الموزون للمدخلات التي تصل إلى الخلية العصبية، والتي يتم تطبيقها بعد ذلك على
Voices_026.wav,155.76,162.32,دالة تسمى دالة التنشيط. نتيجة دالة التنشيط تحدد ما إذا كانت الخلية العصبية
Voices_027.wav,162.32,168.24,يتم تنشيطها. كل خلية عصبية يتم تنشيطها تمرر المعلومات إلى الطبقات التالية.
Voices_028.wav,168.24,175.44,يستمر هذا حتى الطبقة الثانية الأخيرة. يتم تنشيط خلية عصبية واحدة في الطبقة
Voices_029.wav,175.44,180.48,الناتجة تتوافق مع الرقم المدخل. يتم تعديل الأوزان والتحيزات باستمرار لإنتاج
Voices_030.wav,180.48,186.16,شبكة مدربة جيدًا. إذًا، أين يتم تطبيق التعلم العميق؟ في دعم العملاء، عندما
Voices_031.wav,186.16,192.0,يتحدث معظم الناس مع وكيل دعم العملاء، يبدو الحديث حقيقيًا. لا يدركون حتى أن
Voices_032.wav,192.0,198.32,الأمر يتعلق ب bot على الجانب الآخر. في الرعاية الطبية، الشبكات العصبية تكتشف
Voices_033.wav,198.32,205.52,خلايا السرطان وتحلل صور MRI لتقديم نتائج مفصلة. السيارات ذاتية القيادة. ما
Voices_034.wav,205.52,212.16,بدا وكأنه خيال علمي أصبح الآن حقيقة. Apple، Tesla، و Nissan هي بعض الشركات
Voices_035.wav,212.16,217.84,التي تعمل على السيارات ذاتية القيادة، لذا فإن التعلم العميق له نطاق واسع،
Voices_036.wav,217.84,223.76,ولكنه أيضًا يواجه بعض القيود. الأول كما ناقشنا سابقًا هو البيانات. بينما التعلم
Voices_037.wav,223.76,230.24,العميق هو الطريقة الأكثر كفاءة للتعامل مع البيانات غير المنظمة، تتطلب الشبكة
Voices_038.wav,230.24,236.32,العصبية حجمًا ضخمًا من البيانات للتدريب. لنفترض أن لدينا دائمًا إمكانية الوصول
Voices_039.wav,236.32,242.24,إلى الكمية الضرورية من البيانات. معالجة هذا ليس ضمن قدرة كل الآلات. وهذا
Voices_040.wav,242.24,247.84,يجلبنا إلى الحد الثاني، القوة الحسابية. يتطلب تدريب الشبكة العصبية وحدات
Voices_041.wav,247.84,255.92,معالجة الرسومات، والتي تحتوي على آلاف النوى مقارنةً بوحدات المعالجة المركزية.
