voices,start,end,text
Voices_000.wav,0.0,5.6,إيلون ماسك. هذا هو إيلون ماسك. لقد تعلم برمجة الكمبيوتر بنفسه عندما كان طفلاً وفي سن 12
Voices_001.wav,5.6,11.68,باع أول برنامج كمبيوتر له، وهو لعبة تسمى بلاستر، مقابل 500 دولار. في سن 24 بدأ Zip2 الذي
Voices_002.wav,11.68,17.28,بيع مقابل 22 مليون دولار. استخدم إيلون ذلك المال لبدء X.com الذي أصبح لاحقًا PayPal و
Voices_003.wav,17.28,23.52,تم بيعه مقابل 250 مليون دولار. ثم استخدم ذلك المال لتأسيس SpaceX في عام 2002 وحوالي
Voices_004.wav,23.52,29.6,ذلك الوقت أيضًا استثمر في Tesla و Solar City. في عام 2008، كاد كل من Tesla و SpaceX
Voices_005.wav,29.6,35.68,أن يفلسوا، لكن إيلون تمكن من إنقاذ الشركتين. في عام 2013 أعلن عن Hyperloop،
Voices_006.wav,35.68,41.36,نظام قطار عالي السرعة. عام 2015 كان العام الذي تمكنت فيه SpaceX من هبوط أول صاروخ
Voices_007.wav,41.36,46.64,قابل لإعادة الاستخدام في التاريخ. في عام 2017 بدأ شركة الحفر لحفر الأنفاق للنقل تحت
Voices_008.wav,46.64,52.08,"المدن الكبيرة ولمجرد المرح، انتقل إلى إنتاج وبيع 20,000 من المقذوفات النارية وبالطبع"
Voices_009.wav,52.08,57.28,بحلول عام 2024، يخطط لإرسال أول إنسان إلى المريخ. شكرًا على المشاهدة، وإذا كنت تحب الفيديو
Voices_010.wav,57.28,59.76,يرجى ترك إعجاب واشترك.
